,,
الباركود,اسم الصنف,سعر البيع
6271001300503,كـتـكـو ستيكس بهارات حارة 40 جم,50.00
8699401436123,ريجو رانش صوص 330 ملل,145.00
8699401436130,ريجو صوص باربكيو 330 جم,135.00
8006363033077,بياليتي كبسولات قهوة ألمنيوم رافيناتو، 10 ق,170.00
8699401436222,ريجو صوص دبس الرمان 250 ملل,120.00
5053990101566,برينجلز كاتشب 165 جم,180.00
5012547001759,كوسنا كبسولات مزيج امازونى,300.00
6271001320501,كـتـكـو ستيكس كاتشب 40 جم,50.00
8801073216563,ساميانج تانجل طبق فطر كريمي 105 جم,280.00
6225000450714,غسول بيبرون - بيبي ستار,100.00
5900617002976,جرانولا مكسرات 350 جم,185.00
8801073116849,ساميانج تانجل زيت الثوم كيس 105 جم,200.00
6271001330456,كـتـكـو ستيكس بابريكا 40 جم,50.00
8699401436024,ريجو صوص كاتشب 600 ملل,140.00
6271001380451,كـتـكـو ستيكس كريمه حامضه وبصل 40 جم,50.00
15300200234,شيتوس مكرونة سبايسي 160 جم,300.00
13000008525,هاينز خل ابيض مقطر 473 ملل,450.00
8699401436093,ريجو صوص برجر 330 جم,145.00
15300014985,شيتوس مكرونة جبنة 160 جم,300.00
8006363033084,بياليتي كبسولات قهوة ألمنيوم إنتنسو، 10 ق,170.00
8699401436062,ريجو صوص مايونيز 330 ملل,115.00
6291105091534,كرافت سكويز 440 جم جبنه شيدر 2 ق,590.00
8699401436161,ريجو صوص ليمون 500 ملل,70.00
11103794,توصيل انستاباى,200.00
6084012090284,كرافت سكويز 440 جم جبنه شيدر,300.00
8699401436147,ريجو صوص حار 350 ملل,115.00
3068320124537,مياه ايــفيـــان 500 ملل,80.00
6290340600457,كـتـكـو ستيكس تاباسكو 40 جم,50.00
7630030390029,نسبرسو ماكينه اركينو 3,"6,500.00"
70177173166,توينجز شاى اخضر ياسمين,250.00
6271001390450,كـتـكـو ستيكس خل وملح 40 جم,50.00
5900617002105,سانتى ميكس فواكه 350 جم,185.00
6271001370452,كـتـكـو ستيكس فلفل احمر حار 40 جم,50.00
6271001360453,كـتـكـو ستيكس دجاج مشوى 40 جم,50.00
713179705590,بن العميد قهوة يونانى 250 جم كويتى,550.00
6281100404149,معمول بر فاخر,190.00
6224011376297,يوني كافيه هوت شوكليت بندق,15.00
8699401436109,ريجو صوص هوت افريكانو 330 جم,145.00
8699401436116,ريجو صوص شيدر 330 جم,145.00
8801073113800,ساميانج رامين اكسترا سبايسى,110.00
8699401436154,ريجو صوص سويت شيلى 280 جم,150.00
8801073216570,ساميانج تانجل طبق زيت الثوم 105 جم,280.00
8004399332928,نسبرسو ماكينة ايسينزا شكل هرمي,"10,000.00"
8801073116832,ساميانج تانجل فطر كريمى كيس 105 جم,200.00
8699401436017,ريجو صوص كاتشب 350 ملل,100.00
8006363033091,بياليتي كبسولات قهوة ألمنيوم كريماسو، 10 ق,170.00
6225000450790,بيبي ستار غسول ملابس الاطفال - 1.75 ك,245.00
6271001310502,كـتـكـو ستيكس ملح قليل 40 جم,50.00
6223001241614,مناديل زينه,40.00
8699401436178,ريجو صوص ليمون 1000 ملل,110.00
8004399334540,ماكينة دولسى جوستو اس بلاس,"10,000.00"
6223006312586,ابو عوف بن فاتح محوج بالهيل 100 جم,85.00
6223006312579,ابو عوف بن محوج وسط بالهيل 100 جم,85.00
6223006312623,ابو عوف بن ساده فاتح 100 جم,75.00
5201098111301,اتيكا عسل نحل يوناني 470 جم,750.00
20436575,اتيكا عسل نحل غذاء الملكات 500 جم,"2,000.00"
5201098115200,اتيكا عسل نحل زعتر احمر 455 جم,750.00
5201098110106,اتيكا عسل نحل يوناني 1 كجم,"1,300.00"
5201098110205,اتيكا عسل نحل يوناني 455 جم,750.00
5201098116207,اتيكا عسل نحل التنوب اخضر 455 جم,750.00
8001200025505,مكرونة اجينيسي فوسيلي 78,160.00
8001200033340,مكرونة اجينيسي تاجلاتيلي ميتزاني نصف نوديلز,200.00
8001200045039,مكرونة اجينيسي سباجيتي 3,130.00
8001200045299,مكرونة اجينيسي بيني ريجاتي 19,130.00
8001200044261,مكرونة اجينيسي فيتوتشيني فلات,130.00
8001200045831,مكرونة اجينيسي فارفالي 61,160.00
8001200045473,مكرونة اجينيسي ريجاتيوني 49,130.00
8001200045275,مكرونة اجينيسي بينيتي ريجاتي 87,160.00
8001860870040,سكوتي ارز طويل الحبه 1 كجم,350.00
6281100411109,ابو كاس ارز بسمتي هندي 1 كجم,220.00
8000300422559,افتر ايت كيس 57 جم,300.00
5000189363069,افتر ايت دارك نعناع 200 جم,330.00
5000426171518,افتر ايت دارك نعناع 300 جم,350.00
8593893781832,افتر ايت كوليكشن 199 جم,600.00
7613032596668,افتر ايت 200 جرام,285.00
7613035903401,افتر ايت دارك فراوله 200 جم,330.00
8850632607939,اكستريم ساور تفاح 25 جم,15.00
8850632608714,اكستريم ساور فراوله 20 جم,15.00
8850632608974,اكستريم ساور تفاح 20 جم,15.00
6904986143550,اكستريم ساور كاندي برتقال 18 جم,20.00
8850632608950,اكستريم ساور كولا 20 جم,15.00
6904986143581,اكستريم ساور كاندي ليمون 18 جم,15.00
6904986143420,اكستريم ساور كاندي عنب 18 جم,20.00
6904986143390,اكستريم ساور كاندي فراوله 18 جم,15.00
6904986143499,اكستريم ساور ميكس فروت 60 جم,100.00
696177381921,روبست اكل كلاب اسنان & جام كير 500 جم,300.00
696177382263,روبست اكل كلاب ادالت تريتس هيلثي 500 جم,300.00
696177381914,روبست اكل كلاب سكين & كوت كير 500 جم,300.00
696177381907,روبست اكل كلاب هيب & جوينت كير 500 جم,300.00
6281013162020,الربيع شاي فتله 50 كيس,80.00
6281013165090,الربيع الاقوي شاي ناعم 250 جم,65.00
6221030011635,الشمعدان تيبو ميني بندق 90 جم,35.00
6221030009120,الشمعدان ميني كتاكيتو 55 جم,30.00
6221030009694,الشمعدان ميني ميكس 150 جم,55.00
6221030009205,الشمعدان تيبو ميني شيكولاته 90 جم,35.00
6221030011642,الشمعدان تيبو ميني ميلك 90 جم,35.00
5065014665244,توربيدو مصاصه خاتم اطعم 10 جم,15.00
6944516003268,كريزي رول بابل جام 12 جم,20.00
5065014665862,توربيدو توي بخاخ فواكهه 20 مل,40.00
5065014665954,توربيدو كاندي محطه بنزين 8 جم,80.00
8435124856332,وار هيدز سوبر ساور 40 جم,110.00
5065014665831,توربيدو كاندي ايس كريم بوب 27 جم,40.00
6925488623319,كاندي مروحه 20 جم,30.00
6961965904618,جيلي كاندي اشاره 57 جم,40.00
5065014665985,توربيدو كاندي مبرد مياه 20 جم,80.00
5065014665121,توربيدو كاندي برجر بوب 20 جم,80.00
5904917030646,موزه سبراي 40 مل,85.00
6942797402350,موزه سبراي 25 مل,75.00
6973823913014,جامي بيج برجر 32 جم,80.00
6931722325864,مسدس ديناصور 10 جم,90.00
6931722320029,فاني ديب فلاش كاندي توي 20 جم,100.00
6254000115743,العميد بن وسط مع هيل 200 جم,400.00
6253806490641,العميد بن فاتح بدون هيل 8 جم,20.00
6253806491327,العميد كلاسيك 3*1 - 20 جم,20.00
6253806490634,العميد بن وسط بدون هيل 8 جم,20.00
6253806490610,العميد بن فاتح مع هيل 8 جم,20.00
713179705538,العميد بن انواع كويتي 250 جرام,550.00
6254000115781,العميد بن فاتح بدون هيل 200 جم,400.00
6254000115804,العميد قهوه فرنسيه 200 جم,400.00
6254000115767,العميد بن غامق مع هيل 200 جم,400.00
6254000115750,العميد بن فاتح بالهيل 200 جم,400.00
713179705576,العميد قهوه فرنسيه 250 جم,550.00
6253806490603,العميد بن وسط مع هيل ظرف 8 جم,20.00
6254000115774,العميد بن وسط بدون هيل 200 جم,400.00
4796002516507,الغزالين شاي اخضر 250 جم,145.00
5014176004927,الغزالين شاي سيلاني 250 جم,180.00
9501033112056,المدهش بطاطس مملح 15 جم,30.00
9501033112414,المدهش بطاطس ساور كريم 15 جم,30.00
6291106853360,الودق قشطه شبيهه 155 جم,50.00
8028696268155,اماتو ملح طعام خشن 1 كجم,80.00
8028696268117,اماتو ملح طعام خشن 1 كجم,80.00
8990044000017,بوكي ستيكس فراوله 45 جم,65.00
8699141156961,امادا موود كراميل ماكياتو 40 جم,45.00
8691707140025,امادا ستيكس جوزهند 32 جم,50.00
8990044000024,بوكي ستيكس كوكيز كريم 40 جم,65.00
8699141057732,امادا موود دارك شوكليت 135 جم,120.00
8699141057053,امادا موود ميلك شوكليت 135 جم,120.00
8990044000000,بوكي ستيكس شيكولاته 47 جم,65.00
8699141058340,امادا موود كراميل ماكياتو 135 جم,120.00
8990044000031,بوكي ستيكس دابل شوكو 47 جم,65.00
8699141157012,امادا موود دارك شوكليت 40 جم,50.00
8699141157005,امادا موود ميلك شوكليت 40 جم,45.00
8008714006341,اميكا تشيز بولز 125 جم,120.00
8008714002152,اميكا الدورادا ملح 400 جم,550.00
8008714000172,اميكا شيبس ملح 200 جم,160.00
8008714006365,اميكا بيتزا بولز 125 جم,120.00
8008714000721,اميكا الفريدو شيبس باربكيو 130 جم,120.00
8008714000219,اميكا تشيبس ستيكس ملح اوريجينال 50 جم,25.00
8008714000080,اميكا تشيبس ستيكس بالجبنة 50 جم,25.00
8008714002787,اميكا الدورادا ملح اقل 400 جم,550.00
8008714001216,اميكا الفريدو شيبس ترفل 100 جم,160.00
30,اميكا كوب سناكس 30 جم,30.00
8008714000806,اميكا الفريدو شيبس ملح 150 جم,160.00
8008714006334,اميكا تشيز كورن 125 جم,120.00
8008714001735,اميكا شيبس بابريكا 180 جم,160.00
8008714000523,اميكا سناكس جبنه 100 جم,120.00
8008714000783,اميكا الفريدو شيبس ملح 130 جم,120.00
8008714000899,اميكا الفريدو شيبس زيت زيتون 130 جم,120.00
8008714006358,اميكا بيتزا رينجز 125 جم,120.00
9556023331078,اورينتال البازلاء الخضراء 60 جم,100.00
9556023228101,اورينتال روستيك بالحبار 60 جم,100.00
9556023331597,اورينتال سوبر رينج 60 جم,100.00
9556023228156,اورينتال روستيك فراخ 60 جم,100.00
9556023897741,اورينتال تشيز بولز 60 جم,100.00
9556023228057,اورينتال روتا روبيان 60 جم,100.00
9556023221454,اورينتال تشيكن رينج 60 جم,100.00
8934680033428,اوريو ويفر رول فانيليا 54 جم,85.00
7622300335809,اوريو سوفت كيك 16 جم,20.00
8934680033442,اوريو ويفر رول شيكولاته 54 جم,85.00
8992760221028,اوريو بوكيمون بسكويت,50.00
8691707036694,اوزمو كريم 35 جم,35.00
8691707061405,اوزمو دينو 2*1 - 18 جم,60.00
8691707140117,اوزمو هوكسي بوكسي 36 جم علبة,45.00
8699141035747,اوزمو وندرز 20 جم,60.00
